194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 3 1 1 -0.497 -0.490 0.062 -2.501	2 0.711 0.693 -0.006 6.352	R 113 1 3 0.181 0.240 -0.028 15.741	4 -0.752 -0.679 -0.006 10.519
L 4 1 1 -0.493 -0.486 0.142 -2.246	2 0.709 0.692 -0.006 6.097	R 113 1 3 0.181 0.239 -0.074 15.855	4 -0.755 -0.681 -0.074 11.002
L 5 1 1 -0.489 -0.484 0.096 -2.123	2 0.707 0.692 0.017 5.473	R 114 1 3 0.179 0.237 -0.040 15.582	4 -0.755 -0.683 -0.085 10.774
L 5 1 1 -0.489 -0.483 0.017 -2.273	2 0.706 0.692 0.006 5.024	R 115 1 3 0.178 0.236 -0.062 15.530	4 -0.758 -0.685 -0.085 10.501
L 6 1 1 -0.485 -0.480 0.096 -1.640	2 0.706 0.692 -0.017 4.734	R 116 1 3 0.176 0.235 -0.062 15.714	4 -0.760 -0.688 -0.153 10.580
L 7 1 1 -0.481 -0.477 0.108 -1.534	2 0.704 0.691 -0.017 4.435	R 116 1 3 0.176 0.234 -0.040 15.635	4 -0.763 -0.690 -0.051 11.327
L 8 1 1 -0.477 -0.475 0.085 -1.429	2 0.702 0.691 -0.017 3.837	R 117 1 3 0.175 0.234 -0.028 15.292	4 -0.763 -0.693 -0.062 11.152
L 8 1 1 -0.477 -0.473 0.040 -1.569	2 0.701 0.691 -0.006 3.363	R 118 1 3 0.173 0.232 -0.119 15.389	4 -0.766 -0.696 -0.085 11.327
L 9 1 1 -0.473 -0.470 0.051 -1.200	2 0.701 0.691 0.006 3.160	R 119 1 3 0.172 0.231 -0.040 15.503	4 -0.769 -0.699 -0.108 11.398
L 10 1 1 -0.469 -0.467 0.040 -0.936	2 0.699 0.691 -0.040 2.686	R 119 1 3 0.172 0.230 -0.040 15.556	4 -0.772 -0.701 -0.051 12.154
L 11 1 1 -0.465 -0.465 0.074 -0.866	2 0.697 0.691 -0.017 2.185	R 0 0 3 0.170 0.229 -0.028 15.371	4 -0.772 -0.704 -0.085 11.908
L 11 1 1 -0.465 -0.462 0.062 -1.244	2 0.696 0.691 -0.006 1.982	R 1 0 3 0.169 0.228 -0.062 15.547	4 -0.775 -0.707 -0.153 11.846
L 12 1 1 -0.462 -0.459 0.062 -0.998	2 0.696 0.690 -0.028 1.956	R 2 0 3 0.168 0.225 -0.131 16.251	4 -0.778 -0.707 0.017 10.897
L 13 1 1 -0.458 -0.454 0.221 -1.596	2 0.694 0.688 0.006 2.088	R 2 0 3 0.168 0.220 -0.199 17.736	4 -0.781 -0.706 0.051 10.220
L 14 1 1 -0.454 -0.449 0.176 -2.378	2 0.693 0.686 -0.085 2.554	R 3 0 3 0.166 0.216 -0.165 -17.508	4 -0.781 -0.704 0.051 8.708
L 14 1 1 -0.454 -0.445 0.142 -3.415	2 0.692 0.682 -0.119 3.591	R 4 0 3 0.165 0.213 -0.131 -16.848	4 -0.784 -0.702 0.074 7.380
L 15 1 1 -0.450 -0.440 0.187 -3.881	2 0.692 0.678 -0.131 5.042	R 5 0 3 0.163 0.208 -0.199 -15.345	4 -0.786 -0.701 0.028 6.149
L 16 1 1 -0.447 -0.434 0.187 -4.567	2 0.690 0.673 -0.096 5.736	R 5 0 3 0.163 0.204 -0.119 -14.325	4 -0.786 -0.699 -0.028 5.710
L 17 1 1 -0.443 -0.430 0.108 -4.857	2 0.689 0.672 -0.051 6.070	R 6 0 3 0.160 0.201 -0.085 -14.264	4 -0.786 -0.700 -0.051 5.596
L 17 1 1 -0.443 -0.427 0.096 -5.736	2 0.688 0.671 -0.017 6.009	R 7 0 3 0.158 0.198 -0.119 -14.026	4 -0.786 -0.702 -0.096 6.422
L 18 1 1 -0.439 -0.423 0.153 -5.789	2 0.688 0.671 0.006 5.771	R 8 0 3 0.154 0.196 -0.062 -13.974	4 -0.784 -0.705 -0.119 7.820
L 19 1 1 -0.436 -0.420 0.051 -5.437	2 0.687 0.671 0.017 5.235	R 8 0 3 0.154 0.195 -0.062 -14.255	4 -0.781 -0.709 -0.006 9.516
L 20 1 1 -0.432 -0.417 0.108 -5.868	2 0.685 0.672 -0.017 4.769	R 9 0 3 0.150 0.192 -0.085 -14.712	4 -0.781 -0.712 -0.131 11.820
L 20 1 1 -0.432 -0.413 0.142 -6.993	2 0.684 0.672 0.006 4.462	R 10 0 3 0.146 0.189 -0.165 -15.090	4 -0.776 -0.713 -0.074 13.859
L 21 1 1 -0.428 -0.409 0.096 -6.756	2 0.684 0.672 -0.040 4.382	R 11 0 3 0.141 0.187 -0.085 -14.888	4 -0.770 -0.714 0.040 15.899
L 22 1 1 -0.425 -0.405 0.131 -7.160	2 0.683 0.670 -0.085 4.664	R 11 0 3 0.141 0.183 -0.131 -14.624	4 -0.761 -0.713 0.028 16.127
L 23 1 1 -0.421 -0.401 0.131 -7.662	2 0.682 0.666 -0.187 5.745	R 12 0 3 0.135 0.178 -0.153 -15.292	4 -0.761 -0.710 0.062 -17.921
L 23 1 1 -0.421 -0.396 0.165 -8.963	2 0.681 0.662 -0.142 6.695	R 13 0 3 0.128 0.173 -0.278 -15.327	4 -0.751 -0.706 0.176 -15.890
L 24 1 1 -0.418 -0.391 0.165 -9.305	2 0.681 0.658 -0.165 8.066	R 14 0 3 0.121 0.167 -0.187 -14.738	4 -0.739 -0.701 0.369 -14.510
L 25 1 1 -0.414 -0.386 0.176 -9.851	2 0.680 0.653 -0.187 9.358	R 14 0 3 0.121 0.160 -0.210 -13.965	4 -0.725 -0.695 0.176 -15.547
L 26 1 1 -0.410 -0.382 0.153 -10.554	2 0.679 0.648 -0.221 11.002	R 15 0 3 0.112 0.154 -0.199 -14.527	4 -0.725 -0.687 0.165 -13.095
L 26 1 1 -0.410 -0.376 0.176 -12.215	2 0.678 0.642 -0.233 13.130	R 16 0 3 0.104 0.148 -0.346 -14.695	4 -0.709 -0.679 0.369 -10.932
L 27 1 1 -0.407 -0.371 0.176 -12.752	2 0.678 0.636 -0.221 14.818	R 17 0 3 0.095 0.141 -0.210 -13.982	4 -0.692 -0.672 0.494 -8.637
L 28 1 1 -0.403 -0.367 0.119 -13.059	2 0.677 0.631 -0.187 16.075	R 17 0 3 0.095 0.133 -0.267 -13.323	4 -0.673 -0.665 0.051 -9.182
L 29 1 1 -0.400 -0.363 0.119 -13.446	2 0.677 0.627 -0.131 17.367	R 18 0 3 0.085 0.123 -0.482 -12.998	4 -0.673 -0.654 0.471 -7.125
L 29 1 1 -0.400 -0.360 0.153 -14.255	2 0.676 0.624 -0.108 -17.596	R 19 0 3 0.075 0.109 -0.562 -10.993	4 -0.653 -0.650 0.017 -1.481
L 30 1 1 -0.397 -0.357 0.108 -14.018	2 0.676 0.621 -0.108 -16.796	R 20 0 3 0.065 0.090 -0.721 -6.193	4 -0.632 -0.648 0.448 3.662
L 31 1 1 -0.393 -0.355 0.062 -13.464	2 0.675 0.619 -0.096 -16.303	R 20 0 3 0.065 0.069 -0.641 -1.244	4 -0.610 -0.627 0.426 -1.182
L 32 1 1 -0.390 -0.353 0.062 -13.165	2 0.674 0.617 -0.062 -15.644	R 21 0 3 0.054 0.052 -0.516 0.004	4 -0.610 -0.610 0.471 0.136
L 32 1 1 -0.390 -0.351 0.062 -13.745	2 0.674 0.614 -0.074 -15.011	R 22 0 3 0.044 0.047 -0.028 -1.024	4 -0.588 -0.596 0.834 1.613
