194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 53 0 1 -0.068 -0.050 -0.346 -4.857	2 0.177 0.187 -0.017 -3.749	R 62 1 3 0.296 0.318 0.017 -7.916	4 -0.672 -0.589 0.017 6.642
L 53 0 1 -0.068 -0.061 -0.369 -2.273	2 0.177 0.187 -0.040 -3.389	R 63 1 3 0.293 0.318 -0.085 -8.409	4 -0.673 -0.588 0.040 6.009
L 54 0 1 -0.079 -0.072 -0.369 -2.633	2 0.177 0.187 -0.017 -3.354	R 64 1 3 0.290 0.317 0.006 -8.787	4 -0.673 -0.587 0.017 5.525
L 55 0 1 -0.090 -0.082 -0.392 -2.782	2 0.178 0.187 0.006 -3.160	R 64 1 3 0.290 0.316 -0.006 -9.200	4 -0.674 -0.585 0.017 5.059
L 56 0 1 -0.102 -0.091 -0.369 -2.527	2 0.179 0.187 0.040 -2.765	R 65 1 3 0.288 0.315 -0.028 -9.965	4 -0.674 -0.584 0.017 4.391
L 56 0 1 -0.102 -0.100 -0.233 -1.033	2 0.182 0.187 -0.028 -2.545	R 66 1 3 0.285 0.315 -0.096 -10.237	4 -0.674 -0.582 0.040 3.424
L 57 0 1 -0.114 -0.107 -0.210 -2.475	2 0.182 0.189 0.096 -2.809	R 67 1 3 0.282 0.314 -0.017 -10.448	4 -0.675 -0.581 0.040 2.967
L 58 0 1 -0.127 -0.115 -0.289 -3.846	2 0.185 0.192 0.165 -2.571	R 67 1 3 0.282 0.313 -0.051 -10.844	4 -0.676 -0.580 0.176 2.888
L 59 0 1 -0.140 -0.123 -0.346 -4.400	2 0.190 0.196 0.119 -2.325	R 68 1 3 0.279 0.312 -0.028 -11.635	4 -0.676 -0.580 -0.051 2.888
L 59 0 1 -0.140 -0.133 -0.358 -2.264	2 0.195 0.199 0.017 -2.396	R 69 1 3 0.277 0.311 -0.096 -12.013	4 -0.677 -0.581 -0.040 2.255
L 60 0 1 -0.153 -0.144 -0.346 -3.046	2 0.195 0.201 0.119 -2.334	R 70 1 3 0.274 0.311 -0.040 -12.277	4 -0.677 -0.581 -0.028 1.956
L 61 0 1 -0.166 -0.155 -0.392 -3.758	2 0.202 0.207 0.312 -2.229	R 70 1 3 0.274 0.310 -0.051 -12.497	4 -0.678 -0.581 -0.028 1.991
L 62 0 1 -0.180 -0.166 -0.392 -3.327	2 0.210 0.216 0.358 -2.519	R 71 1 3 0.271 0.308 -0.040 -12.963	4 -0.678 -0.581 -0.017 1.921
L 62 0 1 -0.180 -0.177 -0.335 -1.068	2 0.219 0.222 0.051 -2.897	R 72 1 3 0.269 0.307 -0.074 -13.095	4 -0.679 -0.581 -0.028 1.780
L 63 0 1 -0.194 -0.185 -0.255 -3.116	2 0.219 0.227 0.187 -2.721	R 73 1 3 0.266 0.306 -0.062 -13.262	4 -0.680 -0.581 -0.017 1.833
L 64 0 1 -0.208 -0.194 -0.335 -4.708	2 0.230 0.235 0.323 -2.193	R 73 1 3 0.266 0.304 -0.051 -13.244	4 -0.681 -0.581 0.006 1.798
L 65 0 1 -0.223 -0.204 -0.392 -5.051	2 0.242 0.244 0.471 -1.490	R 74 1 3 0.264 0.301 -0.006 -13.631	4 -0.681 -0.581 -0.040 2.000
L 65 0 1 -0.223 -0.216 -0.471 -2.105	2 0.255 0.255 0.233 -2.659	R 75 1 3 0.261 0.299 -0.153 -13.191	4 -0.682 -0.581 -0.028 2.018
L 66 0 1 -0.237 -0.229 -0.403 -3.169	2 0.255 0.264 0.210 -3.371	R 76 1 3 0.258 0.298 -0.096 -13.130	4 -0.683 -0.581 0.006 1.763
L 67 0 1 -0.252 -0.241 -0.448 -3.758	2 0.269 0.275 0.448 -2.360	R 76 1 3 0.258 0.296 -0.062 -13.112	4 -0.684 -0.581 0.176 1.789
L 68 0 1 -0.267 -0.253 -0.482 -3.266	2 0.285 0.285 0.585 -0.760	R 77 1 3 0.256 0.293 -0.051 -13.305	4 -0.684 -0.581 0.176 1.754
L 68 0 1 -0.267 -0.266 -0.437 -0.505	2 0.302 0.296 0.142 -1.393	R 78 1 3 0.253 0.291 -0.176 -12.963	4 -0.685 -0.581 0.176 1.789
L 69 0 1 -0.283 -0.276 -0.312 -1.947	2 0.302 0.307 0.255 -2.202	R 79 1 3 0.251 0.289 -0.096 -12.813	4 -0.687 -0.581 0.176 1.815
L 70 0 1 -0.298 -0.289 -0.460 -2.888	2 0.319 0.322 0.641 -0.655	R 79 1 3 0.251 0.287 -0.074 -12.752	4 -0.688 -0.581 -0.028 1.824
L 71 0 1 -0.313 -0.302 -0.448 -2.211	2 0.338 0.334 0.687 0.418	R 80 1 3 0.249 0.284 -0.062 -12.787	4 -0.688 -0.581 -0.028 1.763
L 71 0 1 -0.313 -0.314 -0.437 -0.004	2 0.358 0.345 0.244 -0.233	R 81 1 3 0.246 0.282 -0.165 -12.391	4 -0.689 -0.581 0.006 1.798
L 72 0 1 -0.328 -0.327 -0.426 -0.523	2 0.358 0.361 0.278 -0.831	R 82 1 3 0.244 0.280 -0.028 -12.330	4 -0.690 -0.582 -0.028 1.578
L 73 0 1 -0.343 -0.338 -0.539 -0.866	2 0.378 0.376 0.550 0.382	R 82 1 3 0.244 0.278 -0.074 -12.013	4 -0.692 -0.581 0.006 1.701
L 74 0 1 -0.358 -0.350 -0.289 -0.549	2 0.399 0.389 0.766 1.789	R 83 1 3 0.241 0.275 -0.153 -11.662	4 -0.692 -0.581 -0.040 2.097
L 74 0 1 -0.358 -0.365 -0.403 1.736	2 0.420 0.403 0.267 0.945	R 84 1 3 0.239 0.273 -0.142 -11.679	4 -0.693 -0.581 -0.051 1.789
L 75 0 1 -0.373 -0.376 -0.392 1.103	2 0.420 0.418 0.403 0.884	R 85 1 3 0.237 0.271 -0.074 -11.433	4 -0.694 -0.581 0.006 1.560
L 76 0 1 -0.387 -0.388 -0.471 0.664	2 0.442 0.434 0.596 2.765	R 85 1 3 0.237 0.268 -0.085 -11.160	4 -0.696 -0.581 0.006 1.701
L 77 0 1 -0.401 -0.401 -0.426 1.701	2 0.464 0.448 0.812 3.802	R 86 1 3 0.234 0.265 -0.085 -11.020	4 -0.696 -0.581 -0.017 1.965
L 77 0 1 -0.401 -0.413 -0.426 3.987	2 0.486 0.465 0.233 2.774	R 87 1 3 0.232 0.263 -0.119 -10.651	4 -0.697 -0.581 -0.028 2.000
L 78 0 1 -0.415 -0.423 -0.346 2.466	2 0.486 0.479 0.437 2.527	R 88 1 3 0.230 0.261 -0.085 -10.316	4 -0.699 -0.581 -0.028 1.815
L 79 0 1 -0.428 -0.432 -0.358 1.974	2 0.508 0.496 0.800 3.723	R 88 1 3 0.230 0.258 -0.108 -9.754	4 -0.701 -0.581 0.006 1.903
L 80 0 1 -0.440 -0.442 -0.369 2.299	2 0.530 0.512 0.653 4.884	R 89 1 3 0.227 0.255 -0.062 -9.657	4 -0.701 -0.581 0.017 1.701
L 80 0 1 -0.440 -0.452 -0.301 4.084	2 0.551 0.530 0.312 3.020	R 90 1 3 0.225 0.252 -0.210 -9.226	4 -0.702 -0.581 -0.040 1.780
L 81 0 1 -0.452 -0.459 -0.221 2.563	2 0.551 0.543 0.471 2.484	R 91 1 3 0.223 0.250 -0.119 -8.884	4 -0.704 -0.581 0.176 1.807
L 82 0 1 -0.463 -0.467 -0.278 1.543	2 0.571 0.560 0.800 3.301	R 91 1 3 0.223 0.247 -0.142 -8.409	4 -0.706 -0.581 -0.040 1.780
L 83 0 1 -0.474 -0.475 -0.210 0.822	2 0.591 0.575 0.539 4.488	R 92 1 3 0.221 0.244 -0.062 -8.154	4 -0.706 -0.581 -0.017 1.780
L 83 0 1 -0.474 -0.480 -0.119 2.009	2 0.610 0.588 0.074 4.092	R 93 1 3 0.219 0.242 -0.153 -7.767	4 -0.707 -0.582 -0.017 1.780
L 84 0 1 -0.484 -0.484 -0.187 0.207	2 0.610 0.597 0.221 4.444	R 94 1 3 0.217 0.239 -0.074 -7.530	4 -0.709 -0.582 -0.017 1.780
L 85 0 1 -0.492 -0.486 -0.119 -1.349	2 0.627 0.603 0.119 8.725	R 94 1 3 0.217 0.238 -0.074 -7.468	4 -0.711 -0.583 -0.074 1.903
L 86 0 1 -0.500 -0.488 -0.040 -3.495	2 0.643 0.608 0.426 11.415	R 95 1 3 0.215 0.237 0.017 -8.092	4 -0.711 -0.587 -0.199 2.185
L 86 0 1 -0.500 -0.490 -0.028 -3.521	2 0.658 0.613 0.165 12.040	R 96 1 3 0.212 0.238 -0.017 -8.892	4 -0.713 -0.594 -0.301 1.552
L 87 0 1 -0.507 -0.493 -0.119 -4.848	2 0.658 0.623 0.176 12.787	R 97 1 3 0.210 0.240 0.119 -10.193	4 -0.715 -0.604 -0.460 2.053
L 88 0 1 -0.513 -0.496 -0.165 -5.666	2 0.671 0.633 0.460 13.086	R 97 1 3 0.210 0.243 0.153 -11.776	4 -0.717 -0.616 -0.369 1.648
L 89 0 1 -0.517 -0.500 -0.176 -5.842	2 0.683 0.646 0.550 11.705	R 98 1 3 0.208 0.248 0.119 -13.780	4 -0.717 -0.631 -0.562 5.763
L 89 0 1 -0.517 -0.505 -0.176 -4.593	2 0.693 0.659 0.335 9.587	R 99 1 3 0.206 0.252 0.119 -16.084	4 -0.719 -0.645 -0.471 9.675
L 90 0 1 -0.521 -0.508 -0.096 -4.629	2 0.693 0.673 0.403 6.932	R 100 1 3 0.204 0.255 0.085 -17.446	4 -0.721 -0.656 -0.414 13.376
L 91 0 1 -0.523 -0.511 -0.108 -4.629	2 0.701 0.684 0.335 6.062	R 100 1 3 0.204 0.257 0.051 17.376	4 -0.723 -0.665 -0.244 16.057
L 92 0 1 -0.525 -0.512 -0.028 -4.444	2 0.708 0.690 0.278 5.754	R 101 1 3 0.202 0.258 -0.017 16.514	4 -0.723 -0.669 -0.062 16.945
L 92 0 1 -0.525 -0.513 0.051 -4.541	2 0.713 0.692 -0.017 6.308	R 102 1 3 0.200 0.257 -0.040 16.040	4 -0.725 -0.670 -0.017 16.558
L 93 0 1 -0.525 -0.512 0.028 -4.831	2 0.713 0.692 -0.074 7.644	R 103 1 3 0.199 0.257 -0.040 15.943	4 -0.727 -0.669 0.040 15.477
L 94 0 1 -0.525 -0.510 0.096 -5.253	2 0.717 0.690 -0.131 9.701	R 103 1 3 0.199 0.254 -0.108 16.488	4 -0.730 -0.666 0.142 14.070
L 95 0 1 -0.524 -0.508 0.108 -6.035	2 0.719 0.687 -0.096 11.477	R 104 1 3 0.197 0.252 -0.074 16.585	4 -0.730 -0.664 0.062 12.848
L 95 0 1 -0.524 -0.506 0.040 -6.519	2 0.721 0.685 -0.074 12.277	R 105 1 3 0.195 0.250 -0.096 16.769	4 -0.732 -0.663 -0.040 11.767
L 96 0 1 -0.522 -0.504 0.017 -6.264	2 0.721 0.684 -0.051 12.892	R 106 1 3 0.193 0.248 -0.051 17.033	4 -0.734 -0.664 -0.108 11.407
L 97 0 1 -0.519 -0.502 0.062 -6.141	2 0.721 0.684 0.006 12.910	R 106 1 3 0.193 0.247 -0.062 17.042	4 -0.737 -0.666 -0.085 11.925
L 98 0 1 -0.516 -0.501 0.074 -5.736	2 0.720 0.685 0.028 12.391	R 107 1 3 0.191 0.247 0.176 16.435	4 -0.737 -0.669 -0.062 12.048
L 98 0 1 -0.516 -0.499 0.017 -5.868	2 0.719 0.686 0.017 11.811	R 108 1 3 0.189 0.246 -0.085 16.048	4 -0.739 -0.672 -0.074 12.101
L 99 0 1 -0.512 -0.498 0.051 -5.121	2 0.719 0.686 0.040 11.327	R 109 1 3 0.188 0.246 -0.017 15.925	4 -0.742 -0.674 -0.108 12.277
L 0 1 1 -0.509 -0.496 0.085 -4.497	2 0.717 0.686 -0.028 10.774	R 109 1 3 0.188 0.245 -0.085 15.846	4 -0.744 -0.676 -0.062 12.699
L 1 1 1 -0.505 -0.494 0.085 -4.180	2 0.715 0.686 -0.028 10.237	R 110 1 3 0.186 0.244 -0.142 15.925	4 -0.744 -0.676 0.176 11.934
L 1 1 1 -0.505 -0.492 -0.006 -4.303	2 0.713 0.691 0.119 8.286	R 111 1 3 0.184 0.239 -0.096 16.585	4 -0.747 -0.676 0.176 11.073
L 2 1 1 -0.501 -0.490 -0.017 -3.503	2 0.713 0.693 0.040 7.213	R 112 1 3 0.183 0.238 -0.051 16.892	4 -0.749 -0.677 -0.096 10.484
L 3 1 1 -0.497 -0.490 0.028 -2.659	2 0.711 0.693 -0.006 6.422	R 112 1 3 0.183 0.237 -0.040 16.822	4 -0.752 -0.678 -0.108 11.204
L 4 1 1 -0.493 -0.487 0.108 -2.554	2 0.709 0.691 -0.074 6.246	R 113 1 3 0.181 0.236 -0.028 16.514	4 -0.752 -0.681 -0.096 11.020
L 4 1 1 -0.493 -0.484 0.006 -3.037	2 0.707 0.691 0.006 5.956	R 114 1 3 0.179 0.236 -0.040 16.374	4 -0.755 -0.683 -0.119 10.747
L 5 1 1 -0.489 -0.482 0.017 -2.299	2 0.707 0.692 0.017 5.411	R 115 1 3 0.178 0.234 -0.051 16.488	4 -0.758 -0.685 -0.131 10.721
L 6 1 1 -0.485 -0.480 0.108 -1.727	2 0.706 0.692 -0.017 4.769	R 115 1 3 0.178 0.234 -0.051 16.488	4 -0.760 -0.688 -0.085 11.319
L 7 1 1 -0.481 -0.478 0.085 -1.587	2 0.704 0.691 -0.040 4.409	R 116 1 3 0.176 0.233 -0.028 16.145	4 -0.760 -0.691 -0.085 11.486
L 7 1 1 -0.481 -0.475 0.074 -1.982	2 0.702 0.692 0.040 4.031	R 117 1 3 0.175 0.232 -0.062 16.048	4 -0.763 -0.694 -0.119 11.275
L 8 1 1 -0.477 -0.473 0.028 -1.393	2 0.702 0.692 0.028 3.547	R 118 1 3 0.173 0.231 -0.017 16.092	4 -0.766 -0.696 -0.108 11.618
L 9 1 1 -0.473 -0.471 0.131 -1.095	2 0.701 0.692 -0.028 3.020	R 118 1 3 0.173 0.229 -0.085 16.251	4 -0.769 -0.699 -0.085 12.145
L 10 1 1 -0.469 -0.468 0.131 -1.121	2 0.699 0.691 -0.062 2.703	R 119 1 3 0.172 0.229 -0.040 16.004	4 -0.769 -0.701 -0.096 12.084
L 10 1 1 -0.469 -0.465 0.062 -1.429	2 0.697 0.691 0.028 2.422	R 0 0 3 0.170 0.227 -0.074 16.048	4 -0.772 -0.703 -0.108 11.758
L 11 1 1 -0.465 -0.463 0.096 -1.165	2 0.697 0.691 -0.028 2.413	R 1 0 3 0.169 0.226 -0.096 16.418	4 -0.775 -0.705 -0.142 11.521
L 12 1 1 -0.462 -0.459 0.108 -1.024	2 0.696 0.690 -0.028 2.273	R 1 0 3 0.169 0.224 -0.085 16.716	4 -0.778 -0.706 -0.028 11.662
L 13 1 1 -0.458 -0.456 0.153 -1.174	2 0.694 0.688 -0.040 2.299	R 2 0 3 0.168 0.220 -0.199 17.684	4 -0.778 -0.706 0.062 10.316
L 13 1 1 -0.458 -0.451 0.176 -2.633	2 0.693 0.686 -0.062 2.651	R 3 0 3 0.166 0.215 -0.131 -17.209	4 -0.781 -0.704 0.028 8.831
L 14 1 1 -0.454 -0.447 0.119 -2.677	2 0.693 0.684 -0.119 3.319	R 4 0 3 0.165 0.212 -0.085 -16.400	4 -0.784 -0.703 0.176 7.670
L 15 1 1 -0.450 -0.443 0.142 -2.941	2 0.692 0.680 -0.153 4.242	R 4 0 3 0.165 0.208 -0.176 -15.134	4 -0.786 -0.701 0.028 6.923
L 16 1 1 -0.447 -0.438 0.176 -3.767	2 0.690 0.676 -0.153 5.121	R 5 0 3 0.163 0.204 -0.119 -14.334	4 -0.786 -0.700 0.176 5.780
L 16 1 1 -0.447 -0.433 0.142 -4.971	2 0.689 0.673 -0.085 5.842	R 6 0 3 0.160 0.201 -0.085 -14.193	4 -0.786 -0.700 -0.051 5.684
L 17 1 1 -0.443 -0.429 0.108 -5.077	2 0.689 0.672 -0.028 5.947	R 7 0 3 0.158 0.198 -0.119 -13.499	4 -0.786 -0.701 -0.062 6.237
L 18 1 1 -0.439 -0.425 0.131 -4.980	2 0.688 0.671 -0.006 5.587	R 7 0 3 0.158 0.196 -0.051 -13.358	4 -0.784 -0.704 -0.006 7.266
L 19 1 1 -0.436 -0.422 0.096 -5.165	2 0.687 0.672 -0.017 5.244	R 8 0 3 0.154 0.194 -0.062 -13.991	4 -0.784 -0.707 -0.131 8.857
L 19 1 1 -0.436 -0.419 0.119 -6.105	2 0.685 0.672 0.006 4.936	R 9 0 3 0.150 0.192 -0.142 -14.316	4 -0.781 -0.710 -0.040 10.862
L 20 1 1 -0.432 -0.415 0.153 -6.070	2 0.685 0.672 -0.017 4.708	R 10 0 3 0.146 0.189 -0.108 -14.229	4 -0.776 -0.712 0.006 13.007
L 21 1 1 -0.428 -0.411 0.074 -6.097	2 0.684 0.672 -0.040 4.356	R 10 0 3 0.146 0.186 -0.131 -14.026	4 -0.770 -0.713 -0.062 13.684
L 22 1 1 -0.425 -0.408 0.142 -6.519	2 0.683 0.670 -0.096 4.541	R 11 0 3 0.141 0.183 -0.108 -14.703	4 -0.770 -0.712 -0.040 15.820
L 22 1 1 -0.425 -0.403 0.153 -7.591	2 0.682 0.667 -0.153 5.464	R 12 0 3 0.135 0.179 -0.187 -15.266	4 -0.761 -0.710 0.085 17.842
L 23 1 1 -0.421 -0.399 0.131 -7.776	2 0.682 0.664 -0.165 6.554	R 13 0 3 0.128 0.174 -0.176 -14.607	4 -0.751 -0.707 0.267 -16.303
L 24 1 1 -0.418 -0.394 0.153 -8.391	2 0.681 0.659 -0.153 7.635	R 13 0 3 0.128 0.168 -0.199 -14.035	4 -0.739 -0.702 0.165 -16.971
L 25 1 1 -0.414 -0.389 0.165 -9.253	2 0.680 0.655 -0.187 9.007	R 14 0 3 0.121 0.161 -0.187 -14.589	4 -0.739 -0.696 0.142 -15.143
L 25 1 1 -0.414 -0.384 0.176 -10.580	2 0.679 0.650 -0.187 10.501	R 15 0 3 0.112 0.155 -0.278 -14.712	4 -0.725 -0.688 0.267 -12.848
L 26 1 1 -0.410 -0.380 0.153 -10.958	2 0.679 0.644 -0.210 12.479	R 16 0 3 0.104 0.149 -0.221 -13.912	4 -0.709 -0.682 0.516 -11.319
L 27 1 1 -0.407 -0.374 0.176 -11.600	2 0.678 0.638 -0.187 14.246	R 16 0 3 0.104 0.141 -0.221 -13.244	4 -0.692 -0.675 0.165 -12.092
L 28 1 1 -0.403 -0.369 0.119 -12.215	2 0.677 0.633 -0.165 15.556	R 17 0 3 0.095 0.134 -0.233 -14.009	4 -0.692 -0.665 0.142 -8.971
L 28 1 1 -0.403 -0.366 0.142 -13.420	2 0.677 0.629 -0.119 16.980	R 18 0 3 0.085 0.127 -0.335 -14.237	4 -0.673 -0.657 0.358 -5.569
L 29 1 1 -0.400 -0.362 0.096 -13.341	2 0.677 0.625 -0.153 -17.771	R 19 0 3 0.075 0.116 -0.414 -11.741	4 -0.653 -0.649 0.959 -4.251
L 30 1 1 -0.397 -0.359 0.051 -13.138	2 0.676 0.622 -0.085 -16.971	R 19 0 3 0.075 0.099 -0.550 -8.198	4 -0.632 -0.640 -0.074 -3.934
L 31 1 1 -0.393 -0.356 0.085 -13.393	2 0.675 0.619 -0.108 -16.277	R 20 0 3 0.065 0.081 -0.664 -5.402	4 -0.632 -0.633 0.448 0.084
L 31 1 1 -0.393 -0.354 0.062 -13.692	2 0.674 0.616 -0.096 -15.380	R 21 0 3 0.054 0.062 -0.698 -1.921	4 -0.610 -0.621 0.743 2.360
L 32 1 1 -0.390 -0.352 0.062 -13.253	2 0.674 0.614 -0.051 -14.747	R 22 0 3 0.044 0.049 -0.199 0.277	4 -0.588 -0.600 0.868 2.167
L 33 1 1 -0.386 -0.350 0.051 -12.822	2 0.674 0.612 -0.028 -14.352	R 22 0 3 0.044 0.043 -0.199 0.075	4 -0.565 -0.582 0.278 -1.640
L 34 1 1 -0.383 -0.349 0.028 -12.189	2 0.673 0.612 0.017 -14.484	R 23 0 3 0.034 0.036 -0.358 -0.505	4 -0.565 -0.567 0.471 0.954
L 34 1 1 -0.383 -0.349 0.006 -11.943	2 0.673 0.612 0.051 -14.721	R 24 0 3 0.024 0.028 -0.267 -0.884	4 -0.541 -0.552 0.891 2.343
L 35 1 1 -0.379 -0.349 -0.040 -10.642	2 0.673 0.613 0.028 -14.985	R 25 0 3 0.014 0.021 -0.142 -0.488	4 -0.517 -0.533 0.834 3.275
L 36 1 1 -0.376 -0.350 -0.017 -9.543	2 0.672 0.614 0.051 -15.530	R 25 0 3 0.014 0.019 -0.028 -2.053	4 -0.494 -0.510 0.301 -2.123
L 37 1 1 -0.373 -0.350 0.006 -8.444	2 0.672 0.614 -0.006 -15.732	R 26 0 3 0.004 0.016 -0.210 -3.714	4 -0.494 -0.492 0.675 -0.084
L 37 1 1 -0.373 -0.350 -0.017 -8.048	2 0.671 0.614 -0.028 -15.679	R 27 0 3 -0.005 0.013 -0.199 -5.420	4 -0.470 -0.477 0.755 1.226
L 38 1 1 -0.370 -0.351 -0.028 -6.536	2 0.671 0.613 -0.040 -15.512	R 28 0 3 -0.013 0.008 -0.199 -5.068	4 -0.447 -0.460 0.641 2.791
L 39 1 1 -0.366 -0.351 0.017 -5.297	2 0.671 0.611 -0.062 -15.073	R 28 0 3 -0.013 -0.002 -0.312 -3.582	4 -0.424 -0.441 0.323 -1.736
L 40 1 1 -0.363 -0.352 -0.028 -4.418	2 0.670 0.609 -0.096 -14.316	R 29 0 3 -0.020 -0.013 -0.346 -2.668	4 -0.424 -0.423 0.709 0.084
L 40 1 1 -0.363 -0.351 0.006 -4.154	2 0.670 0.606 -0.108 -13.244	R 30 0 3 -0.027 -0.020 -0.278 -2.114	4 -0.402 -0.413 0.528 2.668
L 41 1 1 -0.360 -0.351 0.006 -3.037	2 0.670 0.603 -0.085 -12.532	R 31 0 3 -0.033 -0.027 -0.187 -0.971	4 -0.381 -0.398 0.834 4.110
L 42 1 1 -0.356 -0.351 -0.006 -2.018	2 0.670 0.600 -0.062 -11.591	R 31 0 3 -0.033 -0.035 -0.199 -0.119	4 -0.360 -0.378 0.448 -0.462
L 43 1 1 -0.353 -0.352 -0.028 -1.147	2 0.669 0.597 -0.051 -10.844	R 32 0 3 -0.038 -0.037 -0.051 -0.576	4 -0.360 -0.359 0.675 0.075
L 43 1 1 -0.353 -0.352 -0.006 -0.646	2 0.669 0.595 -0.074 -9.956	R 33 0 3 -0.042 -0.037 -0.051 -1.692	4 -0.341 -0.350 0.505 2.466
L 44 1 1 -0.350 -0.351 0.040 0.224	2 0.669 0.593 -0.051 -9.297	R 34 0 3 -0.046 -0.036 0.017 -2.519	4 -0.322 -0.338 0.619 3.538
L 45 1 1 -0.347 -0.351 0.074 1.024	2 0.669 0.592 -0.028 -9.121	R 34 0 3 -0.046 -0.038 -0.062 -2.844	4 -0.305 -0.318 0.312 -0.840
L 46 1 1 -0.344 -0.352 -0.006 2.510	2 0.669 0.591 -0.051 -8.576	R 35 0 3 -0.048 -0.039 -0.040 -2.905	4 -0.305 -0.305 0.471 0.004
L 46 1 1 -0.344 -0.352 0.017 2.818	2 0.669 0.590 -0.017 -8.251	R 36 0 3 -0.049 -0.039 0.028 -3.160	4 -0.288 -0.294 0.482 1.481
L 47 1 1 -0.341 -0.353 -0.085 4.374	2 0.669 0.589 -0.017 -7.960	R 37 0 3 -0.049 -0.040 -0.028 -3.090	4 -0.273 -0.285 0.289 3.108
L 48 1 1 -0.337 -0.354 -0.028 5.807	2 0.669 0.588 -0.176 -7.802	R 37 0 3 -0.049 -0.041 -0.085 -2.545	4 -0.259 -0.275 0.323 0.585
L 49 1 1 -0.334 -0.355 -0.040 7.081	2 0.669 0.588 -0.040 -7.644	R 38 0 3 -0.047 -0.043 -0.017 -1.833	4 -0.259 -0.261 0.380 0.892
L 49 1 1 -0.334 -0.356 -0.074 7.767	2 0.669 0.588 0.017 -7.495	R 39 0 3 -0.045 -0.043 0.040 -1.182	4 -0.246 -0.253 0.392 1.771
L 50 1 1 -0.331 -0.357 -0.017 9.112	2 0.669 0.587 -0.017 -7.196	R 40 0 3 -0.042 -0.042 0.006 -0.945	4 -0.235 -0.246 0.312 2.862
L 51 1 1 -0.328 -0.357 -0.006 10.167	2 0.669 0.586 -0.006 -6.853	R 40 0 3 -0.042 -0.039 0.085 -0.945	4 -0.225 -0.238 0.255 0.769
L 52 1 1 -0.325 -0.358 -0.017 11.125	2 0.669 0.585 -0.028 -6.527	R 41 0 3 -0.038 -0.038 0.096 -0.295	4 -0.225 -0.227 0.278 0.866
L 52 1 1 -0.325 -0.358 0.006 11.398	2 0.669 0.583 -0.062 -6.026	R 42 0 3 -0.033 -0.036 0.040 0.215	4 -0.216 -0.223 0.221 2.149
L 53 1 1 -0.322 -0.358 0.017 12.426	2 0.669 0.582 -0.062 -5.578	R 43 0 3 -0.027 -0.031 0.165 0.075	4 -0.208 -0.217 0.210 2.686
L 54 1 1 -0.319 -0.358 0.017 13.437	2 0.669 0.580 -0.040 -4.778	R 43 0 3 -0.027 -0.025 0.153 -0.488	4 -0.201 -0.213 0.176 1.499
L 55 1 1 -0.316 -0.357 0.051 14.097	2 0.669 0.579 -0.085 -4.119	R 44 0 3 -0.020 -0.020 0.301 -0.066	4 -0.201 -0.206 0.176 1.552
L 55 1 1 -0.316 -0.357 0.006 14.352	2 0.670 0.576 -0.051 -3.327	R 45 0 3 -0.012 -0.016 0.165 0.716	4 -0.196 -0.199 0.267 1.112
L 56 1 1 -0.313 -0.357 -0.006 15.222	2 0.670 0.575 -0.040 -2.519	R 46 0 3 -0.004 -0.009 0.074 0.048	4 -0.191 -0.196 0.119 1.305
L 57 1 1 -0.310 -0.356 0.028 15.978	2 0.670 0.573 -0.040 -1.895	R 46 0 3 -0.004 -0.001 0.233 -1.182	4 -0.187 -0.194 -0.006 1.086
L 58 1 1 -0.307 -0.356 0.006 16.655	2 0.670 0.571 -0.108 -1.833	R 47 0 3 0.005 0.006 0.335 -0.374	4 -0.187 -0.192 0.096 1.719
L 58 1 1 -0.307 -0.354 0.028 16.488	2 0.671 0.569 -0.062 -2.018	R 48 0 3 0.015 0.010 0.278 0.875	4 -0.184 -0.190 0.096 1.868
L 59 1 1 -0.305 -0.353 0.085 16.884	2 0.671 0.567 -0.131 -1.754	R 49 0 3 0.025 0.019 0.096 -0.295	4 -0.182 -0.188 -0.006 2.167
L 60 1 1 -0.302 -0.351 0.074 17.253	2 0.671 0.564 -0.062 -1.991	R 49 0 3 0.025 0.027 0.176 -0.699	4 -0.180 -0.188 -0.028 2.123
L 61 1 1 -0.299 -0.349 0.062 17.095	2 0.672 0.561 -0.085 -1.701	R 50 0 3 0.035 0.034 0.414 0.110	4 -0.180 -0.187 0.028 2.308
L 61 1 1 -0.299 -0.347 0.051 16.593	2 0.672 0.559 0.040 -2.914	R 51 0 3 0.046 0.041 0.210 1.218	4 -0.179 -0.186 0.062 2.422
L 62 1 1 -0.296 -0.345 0.006 17.349	2 0.672 0.559 0.017 -2.185	R 52 0 3 0.057 0.049 0.142 0.374	4 -0.178 -0.185 0.006 2.563
L 63 1 1 -0.293 -0.345 0.062 -17.982	2 0.673 0.559 -0.006 -1.903	R 52 0 3 0.057 0.059 0.323 -0.875	4 -0.177 -0.185 -0.028 2.607
L 64 1 1 -0.290 -0.344 0.096 -17.798	2 0.673 0.560 -0.006 -1.701	R 53 0 3 0.068 0.067 0.380 -0.013	4 -0.177 -0.185 0.028 2.519
L 64 1 1 -0.290 -0.342 0.051 -17.815	2 0.674 0.560 0.017 -1.613	R 54 0 3 0.079 0.074 0.335 0.857	4 -0.177 -0.183 0.085 1.991
