.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 45 1 1 -0.347 -0.375 0.062 9.385	2 0.669 0.624 -0.085 15.811	R 34 0 3 -0.046 -0.041 -0.062 -1.481	4 -0.322 -0.324 0.414 0.901
L 45 1 1 -0.347 -0.373 0.062 9.077	2 0.669 0.622 -0.074 16.259	R 35 0 3 -0.048 -0.042 -0.006 -1.824	4 -0.305 -0.315 0.516 2.475
L 46 1 1 -0.344 -0.371 0.062 9.481	2 0.669 0.621 -0.028 16.673	R 36 0 3 -0.049 -0.042 0.040 -2.149	4 -0.288 -0.300 0.528 3.213
L 47 1 1 -0.341 -0.369 0.051 10.105	2 0.669 0.620 -0.040 16.971	R 36 0 3 -0.049 -0.043 -0.074 -2.220	4 -0.273 -0.287 0.255 -0.119
L 48 1 1 -0.337 -0.369 0.040 10.510	2 0.669 0.620 -0.040 17.262	R 37 0 3 -0.049 -0.042 -0.017 -2.255	4 -0.273 -0.276 0.403 0.822
L 48 1 1 -0.337 -0.366 0.062 10.158	2 0.669 0.619 0.017 17.481	R 38 0 3 -0.047 -0.042 0.006 -2.026	4 -0.259 -0.266 0.380 2.132
L 49 1 1 -0.334 -0.365 0.028 10.642	2 0.669 0.619 -0.006 17.657	R 39 0 3 -0.045 -0.043 -0.028 -1.666	4 -0.246 -0.258 0.346 2.791
L 50 1 1 -0.331 -0.363 0.074 11.029	2 0.669 0.618 -0.040 17.921	R 39 0 3 -0.045 -0.042 0.017 -1.200	4 -0.235 -0.249 0.119 0.734
L 51 1 1 -0.328 -0.361 0.085 11.248	2 0.669 0.617 -0.051 -17.877	R 40 0 3 -0.042 -0.041 0.085 -0.646	4 -0.235 -0.239 0.380 1.218
L 51 1 1 -0.328 -0.359 0.085 10.651	2 0.669 0.617 -0.006 -17.604	R 41 0 3 -0.038 -0.039 0.096 -0.163	4 -0.225 -0.231 0.426 1.508
L 52 1 1 -0.325 -0.356 0.062 11.055	2 0.669 0.615 -0.051 -17.305	R 42 0 3 -0.033 -0.037 0.085 -0.629	4 -0.216 -0.225 0.176 2.730
L 53 1 1 -0.322 -0.354 0.108 11.029	2 0.669 0.614 -0.028 -16.901	R 42 0 3 -0.033 -0.033 0.131 0.145	4 -0.208 -0.220 0.017 1.393
L 54 1 1 -0.319 -0.352 0.074 10.993	2 0.669 0.613 -0.040 -16.418	R 43 0 3 -0.027 -0.028 0.221 0.356	4 -0.208 -0.214 0.165 1.938
L 54 1 1 -0.319 -0.349 0.062 10.343	2 0.669 0.612 -0.017 -16.119	R 44 0 3 -0.020 -0.024 0.301 0.778	4 -0.201 -0.208 0.221 2.079
L 55 1 1 -0.316 -0.346 0.040 10.659	2 0.669 0.612 -0.006 -15.890	R 45 0 3 -0.012 -0.016 0.085 -0.242	4 -0.196 -0.202 0.199 1.877
L 56 1 1 -0.313 -0.344 0.051 10.844	2 0.670 0.611 -0.028 -15.591	R 45 0 3 -0.012 -0.010 0.255 -0.778	4 -0.191 -0.197 0.119 0.558
L 57 1 1 -0.310 -0.342 0.119 10.905	2 0.670 0.611 -0.006 -15.459	R 46 0 3 -0.004 -0.002 0.323 -0.673	4 -0.191 -0.194 0.074 0.945
L 57 1 1 -0.310 -0.341 0.040 10.589	2 0.670 0.611 -0.176 -15.442	R 47 0 3 0.005 0.004 0.335 -0.119	4 -0.187 -0.192 0.119 1.604
L 58 1 1 -0.307 -0.338 0.040 10.949	2 0.670 0.611 -0.176 -15.354	R 48 0 3 0.015 0.010 0.142 -0.664	4 -0.184 -0.191 0.074 2.035
L 59 1 1 -0.305 -0.337 0.051 11.178	2 0.671 0.612 0.028 -15.213	R 48 0 3 0.015 0.019 0.142 -1.174	4 -0.182 -0.189 -0.017 1.666
L 60 1 1 -0.302 -0.335 0.096 11.424	2 0.671 0.611 0.017 -15.081	R 49 0 3 0.025 0.025 0.301 -0.189	4 -0.182 -0.188 0.017 2.062
L 60 1 1 -0.302 -0.333 0.085 10.932	2 0.672 0.611 -0.017 -15.037	R 50 0 3 0.035 0.029 0.335 1.200	4 -0.180 -0.187 0.040 2.422
L 61 1 1 -0.299 -0.331 0.040 11.345	2 0.672 0.611 -0.017 -14.932	R 51 0 3 0.046 0.038 0.074 0.567	4 -0.179 -0.187 0.051 2.791
L 62 1 1 -0.296 -0.329 0.051 11.741	2 0.672 0.612 0.017 -14.844	R 51 0 3 0.046 0.046 0.278 -0.207	4 -0.178 -0.185 0.062 2.114
L 63 1 1 -0.293 -0.328 0.062 11.873	2 0.673 0.612 0.017 -14.607	R 52 0 3 0.057 0.055 0.437 0.259	4 -0.178 -0.184 0.040 2.079
L 63 1 1 -0.293 -0.326 0.040 11.459	2 0.673 0.612 0.040 -14.607	R 53 0 3 0.068 0.062 0.278 1.305	4 -0.177 -0.183 0.040 1.851
L 64 1 1 -0.290 -0.324 0.040 11.776	2 0.673 0.612 -0.006 -14.510	R 54 0 3 0.079 0.070 0.142 0.479	4 -0.177 -0.183 -0.017 1.833
L 65 1 1 -0.288 -0.322 0.108 11.873	2 0.674 0.612 0.017 -14.255	R 54 0 3 0.079 0.083 0.358 -1.174	4 -0.178 -0.183 -0.028 1.947
L 66 1 1 -0.285 -0.320 0.074 11.978	2 0.674 0.612 -0.176 -13.974	R 55 0 3 0.090 0.090 0.403 0.022	4 -0.178 -0.183 -0.006 1.648
L 66 1 1 -0.285 -0.318 0.051 11.644	2 0.675 0.612 0.017 -13.930	R 56 0 3 0.102 0.097 0.380 0.945	4 -0.179 -0.183 -0.040 1.253
L 67 1 1 -0.282 -0.316 0.062 11.846	2 0.675 0.612 0.017 -13.824	R 57 0 3 0.114 0.105 0.051 0.699	4 -0.182 -0.184 -0.074 0.848
L 68 1 1 -0.279 -0.314 0.085 11.855	2 0.676 0.612 -0.017 -13.516	R 57 0 3 0.114 0.116 0.380 -0.673	4 -0.185 -0.187 -0.096 1.754
L 69 1 1 -0.277 -0.312 0.051 12.110	2 0.677 0.612 0.028 -13.332	R 58 0 3 0.127 0.125 0.369 0.453	4 -0.185 -0.191 -0.131 1.991
L 69 1 1 -0.277 -0.310 0.051 11.670	2 0.677 0.612 0.017 -13.253	R 59 0 3 0.140 0.130 0.301 2.466	4 -0.190 -0.192 -0.051 1.024
L 70 1 1 -0.274 -0.308 0.051 11.934	2 0.677 0.612 -0.176 -13.156	R 60 0 3 0.153 0.140 0.119 1.534	4 -0.195 -0.196 -0.187 0.374
L 71 1 1 -0.271 -0.307 0.085 12.224	2 0.678 0.612 0.017 -12.822	R 60 0 3 0.153 0.151 0.255 0.611	4 -0.202 -0.200 -0.085 1.780
L 72 1 1 -0.269 -0.305 0.074 12.330	2 0.679 0.612 0.017 -12.602	R 61 0 3 0.166 0.162 0.346 1.560	4 -0.202 -0.206 -0.165 1.376
L 72 1 1 -0.269 -0.303 0.062 12.075	2 0.680 0.613 -0.176 -12.637	R 62 0 3 0.180 0.170 0.392 2.290	4 -0.210 -0.212 -0.278 0.831
L 73 1 1 -0.266 -0.302 0.006 12.426	2 0.680 0.613 0.028 -12.549	R 63 0 3 0.194 0.181 0.199 1.156	4 -0.219 -0.218 -0.199 0.752
L 74 1 1 -0.264 -0.300 0.074 12.470	2 0.681 0.613 0.017 -12.259	R 63 0 3 0.194 0.194 0.301 0.215	4 -0.230 -0.228 -0.358 2.325
L 75 1 1 -0.261 -0.298 0.119 12.400	2 0.682 0.613 -0.017 -11.908	R 64 0 3 0.208 0.204 0.403 1.024	4 -0.230 -0.236 -0.221 1.701
L 75 1 1 -0.261 -0.296 0.017 12.286	2 0.683 0.614 0.051 -11.943	R 65 0 3 0.223 0.213 0.448 1.833	4 -0.242 -0.241 -0.380 0.119
L 76 1 1 -0.258 -0.294 0.028 12.523	2 0.683 0.614 -0.017 -11.723	R 66 0 3 0.237 0.223 0.199 1.490	4 -0.255 -0.251 -0.369 0.418
L 77 1 1 -0.256 -0.292 0.085 12.655	2 0.684 0.614 -0.176 -11.407	R 66 0 3 0.237 0.236 0.392 0.541	4 -0.269 -0.263 -0.323 1.569
L 78 1 1 -0.253 -0.290 0.108 12.796	2 0.685 0.614 0.017 -11.169	R 67 0 3 0.252 0.249 0.550 0.655	4 -0.269 -0.275 -0.289 1.112
L 78 1 1 -0.253 -0.290 -0.017 12.743	2 0.687 0.615 0.028 -11.257	R 68 0 3 0.267 0.258 0.392 1.921	4 -0.285 -0.285 -0.426 0.646
L 79 1 1 -0.251 -0.287 0.017 12.936	2 0.687 0.615 -0.176 -11.055	R 69 0 3 0.283 0.270 0.221 1.095	4 -0.302 -0.296 -0.403 -0.338
L 80 1 1 -0.249 -0.286 0.062 13.068	2 0.688 0.616 -0.006 -10.826	R 69 0 3 0.283 0.283 0.403 -0.084	4 -0.319 -0.308 -0.323 1.138
L 81 1 1 -0.246 -0.284 0.051 13.112	2 0.689 0.617 0.108 -10.756	R 70 0 3 0.298 0.296 0.460 0.655	4 -0.319 -0.323 -0.482 0.901
L 81 1 1 -0.246 -0.284 0.006 13.007	2 0.690 0.618 0.085 -10.993	R 71 0 3 0.313 0.303 0.437 1.912	4 -0.338 -0.335 -0.448 -0.620
L 82 1 1 -0.244 -0.281 0.051 13.209	2 0.690 0.619 0.051 -11.125	R 72 0 3 0.328 0.319 0.335 -0.242	4 -0.358 -0.347 -0.630 -1.525
L 83 1 1 -0.241 -0.280 0.040 13.560	2 0.692 0.620 -0.176 -10.914	R 72 0 3 0.328 0.332 0.323 -1.323	4 -0.378 -0.366 -0.403 1.851
L 84 1 1 -0.239 -0.279 0.028 13.789	2 0.693 0.622 0.051 -11.029	R 73 0 3 0.343 0.343 0.573 -0.075	4 -0.378 -0.379 -0.562 0.163
L 84 1 1 -0.239 -0.278 0.040 13.560	2 0.694 0.623 0.028 -11.266	R 74 0 3 0.358 0.354 0.550 0.163	4 -0.399 -0.393 -0.698 -0.998
L 85 1 1 -0.237 -0.276 0.028 13.859	2 0.694 0.624 0.017 -11.152	R 75 0 3 0.373 0.365 0.267 -0.629	4 -0.420 -0.407 -0.505 -2.905
L 86 1 1 -0.234 -0.274 0.096 13.780	2 0.696 0.624 -0.176 -10.721	R 75 0 3 0.373 0.378 0.323 -2.193	4 -0.442 -0.422 -0.426 0.180
L 87 1 1 -0.232 -0.272 0.119 13.640	2 0.697 0.624 0.017 -10.360	R 76 0 3 0.387 0.392 0.448 -1.833	4 -0.442 -0.440 -0.539 -0.919
L 87 1 1 -0.232 -0.271 0.051 13.429	2 0.699 0.625 0.051 -10.264	R 77 0 3 0.401 0.400 0.460 -0.514	4 -0.464 -0.453 -0.687 -2.651
L 88 1 1 -0.230 -0.268 0.006 13.560	2 0.699 0.625 0.017 -10.009	R 78 0 3 0.415 0.411 0.278 -1.912	4 -0.486 -0.470 -0.607 -4.286
L 89 1 1 -0.227 -0.266 0.096 13.455	2 0.701 0.625 0.017 -9.525	R 78 0 3 0.415 0.424 0.278 -3.503	4 -0.508 -0.488 -0.437 0.031
L 90 1 1 -0.225 -0.264 0.119 13.226	2 0.702 0.625 0.028 -9.235	R 79 0 3 0.428 0.434 0.301 -2.501	4 -0.508 -0.506 -0.630 -0.971
L 90 1 1 -0.225 -0.263 0.051 12.945	2 0.704 0.626 0.040 -9.191	R 80 0 3 0.440 0.441 0.346 -0.875	4 -0.530 -0.520 -0.687 -2.352
L 91 1 1 -0.223 -0.260 -0.006 13.262	2 0.704 0.627 0.051 -9.103	R 81 0 3 0.452 0.448 0.153 -1.420	4 -0.551 -0.535 -0.550 -4.233
L 92 1 1 -0.221 -0.258 0.051 13.024	2 0.706 0.628 0.017 -8.919	R 81 0 3 0.452 0.458 0.221 -2.105	4 -0.571 -0.553 -0.426 0.251
L 93 1 1 -0.219 -0.257 0.096 12.971	2 0.707 0.630 0.108 -9.059	R 82 0 3 0.463 0.466 0.255 -1.200	4 -0.571 -0.572 -0.539 -0.523
L 93 1 1 -0.219 -0.255 0.040 12.760	2 0.709 0.632 0.074 -9.341	R 83 0 3 0.474 0.472 0.346 -0.084	4 -0.591 -0.582 -0.539 -2.290
L 94 1 1 -0.217 -0.254 0.006 13.095	2 0.709 0.635 0.085 -9.842	R 84 0 3 0.484 0.480 0.267 -1.103	4 -0.610 -0.596 -0.562 -3.503
L 95 1 1 -0.215 -0.252 0.062 13.244	2 0.711 0.637 0.051 -10.000	R 84 0 3 0.484 0.489 0.221 -2.211	4 -0.627 -0.612 -0.460 0.374
L 96 1 1 -0.212 -0.251 0.074 13.235	2 0.713 0.640 0.074 -10.510	R 85 0 3 0.492 0.496 0.176 -1.393	4 -0.627 -0.627 -0.380 -0.576
L 96 1 1 -0.212 -0.250 0.062 12.936	2 0.715 0.643 0.085 -11.178	R 86 0 3 0.500 0.501 0.255 -0.866	4 -0.643 -0.633 -0.414 -2.914
L 97 1 1 -0.210 -0.248 0.028 13.226	2 0.715 0.645 0.096 -11.688	R 87 0 3 0.507 0.507 0.153 -1.402	4 -0.658 -0.646 -0.539 -3.213
L 98 1 1 -0.208 -0.246 0.028 13.244	2 0.717 0.648 0.051 -11.688	R 87 0 3 0.507 0.511 0.131 -1.877	4 -0.671 -0.661 -0.312 -0.040
L 99 1 1 -0.206 -0.245 0.062 13.138	2 0.719 0.650 0.108 -11.969	R 88 0 3 0.513 0.515 0.040 -0.945	4 -0.671 -0.667 -0.187 -1.490
L 99 1 1 -0.206 -0.243 0.051 12.831	2 0.721 0.653 0.085 -12.453	R 89 0 3 0.517 0.515 0.085 0.505	4 -0.683 -0.673 -0.403 -2.967
L 100 1 1 -0.204 -0.241 0.074 12.936	2 0.721 0.654 0.051 -12.585	R 90 0 3 0.521 0.516 -0.074 1.007	4 -0.693 -0.680 -0.221 -3.908
L 101 1 1 -0.202 -0.240 0.062 13.024	2 0.723 0.656 0.062 -12.716	R 90 0 3 0.521 0.519 0.051 0.637	4 -0.701 -0.687 -0.176 -2.105
L 102 1 1 -0.200 -0.238 0.051 12.910	2 0.725 0.659 0.119 -13.068	R 91 0 3 0.523 0.521 0.085 0.875	4 -0.701 -0.694 -0.153 -2.765
L 102 1 1 -0.200 -0.237 -0.006 12.884	2 0.727 0.663 0.176 -14.105	R 92 0 3 0.525 0.521 -0.017 1.569	4 -0.708 -0.697 -0.153 -3.749
L 103 1 1 -0.199 -0.237 0.017 13.376	2 0.727 0.668 0.210 -14.932	R 93 0 3 0.525 0.520 -0.040 1.859	4 -0.713 -0.699 -0.131 -4.611
L 104 1 1 -0.197 -0.236 0.028 13.807	2 0.730 0.672 0.142 -15.644	R 93 0 3 0.525 0.520 -0.028 2.053	4 -0.717 -0.702 -0.040 -3.864
L 105 1 1 -0.195 -0.235 0.040 14.026	2 0.732 0.675 0.165 -16.444	R 94 0 3 0.525 0.519 -0.040 2.237	4 -0.717 -0.707 -0.108 -3.705
L 105 1 1 -0.195 -0.235 -0.006 14.044	2 0.734 0.680 0.153 -17.420	R 95 0 3 0.524 0.517 -0.074 2.246	4 -0.719 -0.708 -0.119 -3.943
L 106 1 1 -0.193 -0.235 0.006 14.422	2 0.734 0.683 0.131 -17.982	R 96 0 3 0.522 0.517 -0.051 2.220	4 -0.721 -0.710 -0.074 -3.846
L 107 1 1 -0.191 -0.234 0.051 14.791	2 0.737 0.686 0.085 17.912	R 96 0 3 0.522 0.514 -0.040 2.501	4 -0.721 -0.710 -0.017 -3.679
L 108 1 1 -0.189 -0.233 0.017 14.853	2 0.739 0.688 0.119 17.851	R 97 0 3 0.519 0.512 -0.074 2.387	4 -0.721 -0.710 -0.017 -3.688
L 108 1 1 -0.189 -0.231 0.028 14.589	2 0.742 0.689 0.028 17.754	R 98 0 3 0.516 0.510 -0.176 2.229	4 -0.720 -0.710 0.062 -3.741
L 109 1 1 -0.188 -0.229 0.062 14.536	2 0.742 0.690 0.040 -17.956	R 99 0 3 0.512 0.508 -0.074 2.422	4 -0.719 -0.709 0.051 -3.556
L 110 1 1 -0.186 -0.228 0.028 14.721	2 0.744 0.691 -0.176 -17.297	R 99 0 3 0.512 0.505 -0.062 2.633	4 -0.717 -0.708 0.006 -3.829
L 111 1 1 -0.184 -0.227 0.028 14.598	2 0.747 0.692 0.051 -16.831	R 0 1 3 0.509 0.503 -0.096 2.158	4 -0.717 -0.707 0.006 -3.635
L 111 1 1 -0.184 -0.225 0.062 14.220	2 0.749 0.692 0.028 -16.637	R 1 1 3 0.505 0.500 -0.119 1.587	4 -0.715 -0.706 -0.006 -2.932
L 112 1 1 -0.183 -0.223 0.085 14.193	2 0.749 0.692 -0.074 -15.811	R 2 1 3 0.501 0.497 -0.074 2.009	4 -0.713 -0.714 -0.210 -0.145
L 113 1 1 -0.181 -0.219 0.165 13.200	2 0.752 0.691 -0.006 -14.835	R 2 1 3 0.501 0.495 -0.028 1.877	4 -0.711 -0.716 0.006 0.453
L 114 1 1 -0.179 -0.218 0.006 13.262	2 0.755 0.693 0.131 -14.809	R 3 1 3 0.497 0.494 -0.119 0.831	4 -0.711 -0.715 -0.096 1.358
L 114 1 1 -0.179 -0.217 0.051 12.971	2 0.758 0.697 0.142 -15.521	R 4 1 3 0.493 0.492 -0.176 0.655	4 -0.709 -0.715 -0.006 1.780
L 115 1 1 -0.178 -0.216 0.006 13.490	2 0.758 0.701 0.131 -15.846	R 5 1 3 0.489 0.489 -0.051 0.743	4 -0.707 -0.715 0.028 2.387
L 116 1 1 -0.176 -0.216 0.040 13.842	2 0.760 0.703 0.028 -15.829	R 5 1 3 0.489 0.487 -0.017 0.629	4 -0.706 -0.715 -0.006 2.615
L 117 1 1 -0.175 -0.215 0.051 13.780	2 0.763 0.706 0.074 -15.890	R 6 1 3 0.485 0.484 -0.096 0.242	4 -0.706 -0.715 0.006 3.196
L 117 1 1 -0.175 -0.213 0.040 13.490	2 0.766 0.708 0.085 -16.330	R 7 1 3 0.481 0.481 -0.165 0.101	4 -0.704 -0.714 0.017 3.433
L 118 1 1 -0.173 -0.213 0.028 13.727	2 0.766 0.710 0.142 -16.708	R 8 1 3 0.477 0.479 -0.074 0.295	4 -0.702 -0.713 0.051 3.714
L 119 1 1 -0.172 -0.212 0.028 13.886	2 0.769 0.714 0.085 -16.532	R 8 1 3 0.477 0.474 -0.108 0.936	4 -0.701 -0.713 -0.006 3.679
L 0 0 1 -0.170 -0.210 0.051 13.692	2 0.772 0.716 0.153 -16.532	R 9 1 3 0.473 0.471 -0.142 0.752	4 -0.701 -0.712 -0.017 4.145
L 0 0 1 -0.170 -0.209 0.062 13.332	2 0.775 0.719 0.142 -17.077	R 10 1 3 0.469 0.469 -0.221 0.488	4 -0.699 -0.712 0.017 4.514
L 1 0 1 -0.169 -0.207 0.062 13.279	2 0.775 0.721 -0.006 -16.822	R 11 1 3 0.465 0.466 -0.108 0.690	4 -0.697 -0.711 0.028 4.699
L 2 0 1 -0.168 -0.204 0.131 12.400	2 0.778 0.721 -0.051 -15.767	R 11 1 3 0.465 0.461 -0.062 1.393	4 -0.696 -0.709 0.051 4.127
L 3 0 1 -0.166 -0.199 0.131 11.213	2 0.781 0.720 0.017 -14.448	R 12 1 3 0.462 0.457 -0.165 1.622	4 -0.696 -0.706 0.153 3.503
L 3 0 1 -0.166 -0.194 0.153 9.868	2 0.784 0.718 -0.040 -13.516	R 13 1 3 0.458 0.453 -0.233 2.062	4 -0.694 -0.702 0.153 2.501
L 4 0 1 -0.165 -0.191 0.142 9.103	2 0.784 0.717 -0.176 -12.831	R 14 1 3 0.454 0.448 -0.085 2.835	4 -0.693 -0.699 0.074 2.088
L 5 0 1 -0.163 -0.188 0.062 8.752	2 0.786 0.718 0.040 -12.330	R 14 1 3 0.454 0.444 -0.131 3.653	4 -0.692 -0.698 0.017 1.789
L 6 0 1 -0.160 -0.185 0.096 8.365	2 0.786 0.720 0.074 -12.567	R 15 1 3 0.450 0.440 -0.096 3.530	4 -0.692 -0.698 -0.040 2.273
L 6 0 1 -0.160 -0.183 0.051 7.662	2 0.786 0.722 0.119 -13.666	R 16 1 3 0.447 0.437 -0.176 3.442	4 -0.690 -0.698 -0.006 2.738
L 7 0 1 -0.158 -0.181 0.062 7.978	2 0.786 0.725 0.096 -14.800	R 17 1 3 0.443 0.434 -0.074 3.855	4 -0.689 -0.698 0.051 2.888
L 8 0 1 -0.154 -0.178 0.074 8.400	2 0.784 0.728 0.096 -16.224	R 17 1 3 0.443 0.430 -0.131 4.611	4 -0.688 -0.697 0.017 2.677
L 9 0 1 -0.150 -0.176 0.108 8.321	2 0.781 0.728 -0.017 -17.446	R 18 1 3 0.439 0.427 -0.165 4.488	4 -0.688 -0.696 0.006 2.738
L 9 0 1 -0.150 -0.172 0.131 7.442	2 0.776 0.728 -0.006 17.771	R 19 1 3 0.436 0.424 -0.187 4.374	4 -0.687 -0.694 0.119 2.343
L 10 0 1 -0.146 -0.169 0.131 7.855	2 0.776 0.728 0.006 16.848	R 20 1 3 0.432 0.420 -0.108 4.796	4 -0.685 -0.691 0.062 1.965
L 11 0 1 -0.141 -0.165 0.085 8.391	2 0.770 0.726 -0.051 15.169	R 20 1 3 0.432 0.416 -0.153 5.710	4 -0.684 -0.689 0.062 1.191
L 12 0 1 -0.135 -0.161 0.131 8.497	2 0.761 0.724 -0.176 13.429	R 21 1 3 0.428 0.412 -0.165 5.745	4 -0.684 -0.686 0.051 0.760
L 12 0 1 -0.135 -0.156 0.176 7.600	2 0.751 0.722 -0.062 12.514	R 22 1 3 0.425 0.408 -0.176 5.789	4 -0.683 -0.686 0.085 0.813
L 13 0 1 -0.128 -0.152 0.153 8.259	2 0.751 0.718 -0.119 11.459	R 23 1 3 0.421 0.405 -0.165 6.571	4 -0.682 -0.681 0.153 -0.655
L 14 0 1 -0.121 -0.146 0.233 8.822	2 0.739 0.712 -0.142 9.218	R 23 1 3 0.421 0.400 -0.187 7.697	4 -0.681 -0.676 0.210 -2.501
L 15 0 1 -0.112 -0.141 0.176 9.103	2 0.725 0.705 -0.392 7.451	R 24 1 3 0.418 0.395 -0.153 7.820	4 -0.681 -0.671 0.142 -3.705
L 15 0 1 -0.112 -0.133 0.210 7.442	2 0.709 0.699 -0.153 6.571	R 25 1 3 0.414 0.391 -0.153 8.154	4 -0.680 -0.666 0.131 -4.989
L 16 0 1 -0.104 -0.128 0.267 7.987	2 0.709 0.691 -0.233 6.246	R 26 1 3 0.410 0.388 -0.085 8.734	4 -0.679 -0.662 0.142 -6.343
L 17 0 1 -0.095 -0.120 0.323 8.303	2 0.692 0.680 -0.244 4.013	R 26 1 3 0.410 0.384 -0.131 9.367	4 -0.678 -0.658 0.017 -7.266
L 18 0 1 -0.085 -0.110 0.255 8.004	2 0.673 0.673 -0.494 0.251	R 27 1 3 0.407 0.382 -0.108 8.760	4 -0.678 -0.655 0.131 -8.611
L 18 0 1 -0.085 -0.101 0.346 5.420	2 0.653 0.665 -0.255 1.420	R 28 1 3 0.403 0.379 -0.108 8.760	4 -0.677 -0.650 0.108 -9.569
L 19 0 1 -0.075 -0.091 0.414 5.191	2 0.653 0.652 -0.403 0.136	R 29 1 3 0.400 0.376 -0.028 8.901	4 -0.677 -0.649 -0.028 -9.833
L 20 0 1 -0.065 -0.080 0.392 4.822	2 0.632 0.636 -0.641 -1.244	R 29 1 3 0.400 0.375 -0.017 8.629	4 -0.676 -0.648 -0.040 -9.851
L 21 0 1 -0.054 -0.068 0.392 3.626	2 0.610 0.624 -0.743 -3.222	R 30 1 3 0.397 0.375 -0.062 7.723	4 -0.676 -0.649 -0.028 -9.543
L 21 0 1 -0.054 -0.057 0.323 0.884	2 0.588 0.612 -0.165 -3.574	R 31 1 3 0.393 0.374 -0.051 6.835	4 -0.675 -0.649 0.028 -9.332
L 22 0 1 -0.044 -0.049 0.255 1.473	2 0.588 0.596 -0.437 -3.178	R 32 1 3 0.390 0.372 -0.040 6.853	4 -0.674 -0.648 0.006 -9.455
L 23 0 1 -0.034 -0.039 0.346 1.648	2 0.565 0.578 -0.914 -3.714	R 32 1 3 0.390 0.371 -0.006 6.475	4 -0.674 -0.648 -0.028 -9.499
L 24 0 1 -0.024 -0.031 0.267 1.552	2 0.541 0.561 -0.789 -5.692	R 33 1 3 0.386 0.371 -0.006 5.393	4 -0.674 -0.648 -0.006 -9.218
L 24 0 1 -0.024 -0.023 0.153 -0.040	2 0.517 0.543 -0.221 -4.505	R 34 1 3 0.383 0.370 -0.085 4.602	4 -0.673 -0.648 0.017 -8.954
L 25 0 1 -0.014 -0.016 0.096 0.989	2 0.517 0.527 -0.562 -3.477	R 35 1 3 0.379 0.369 -0.040 4.215	4 -0.673 -0.647 0.028 -9.015
L 26 0 1 -0.004 -0.010 0.346 1.437	2 0.494 0.507 -0.823 -4.277	R 35 1 3 0.379 0.367 -0.096 4.374	4 -0.672 -0.646 0.108 -9.613
L 27 0 1 0.005 -0.004 0.267 1.631	2 0.470 0.490 -0.846 -5.525	R 36 1 3 0.376 0.366 -0.096 3.776	4 -0.672 -0.644 0.074 -9.930
L 27 0 1 0.005 0.002 0.165 0.602	2 0.447 0.472 -0.187 -4.409	R 37 1 3 0.373 0.365 -0.074 2.888	4 -0.672 -0.643 0.028 -10.281
L 28 0 1 0.013 0.007 0.119 1.903	2 0.447 0.455 -0.607 -2.862	R 38 1 3 0.370 0.364 0.017 2.589	4 -0.671 -0.641 0.040 -10.712
L 29 0 1 0.020 0.012 0.153 2.738	2 0.424 0.437 -0.641 -4.505	R 38 1 3 0.370 0.363 0.006 2.369	4 -0.671 -0.640 0.051 -11.248
L 30 0 1 0.027 0.019 0.176 2.440	2 0.402 0.423 -0.732 -5.877	R 39 1 3 0.366 0.361 -0.028 1.552	4 -0.671 -0.637 0.062 -11.802
L 30 0 1 0.027 0.025 0.165 0.708	2 0.381 0.405 -0.199 -4.391	R 40 1 3 0.363 0.360 -0.085 1.033	4 -0.670 -0.635 0.085 -12.338
L 31 0 1 0.033 0.029 0.085 1.385	2 0.381 0.390 -0.369 -3.741	R 41 1 3 0.360 0.360 -0.017 0.637	4 -0.670 -0.634 0.028 -12.655
L 32 0 1 0.038 0.034 0.142 1.314	2 0.360 0.374 -0.721 -4.646	R 41 1 3 0.360 0.359 -0.017 0.127	4 -0.670 -0.634 0.006 -12.884
L 33 0 1 0.042 0.039 0.119 0.954	2 0.341 0.359 -0.709 -5.534	R 42 1 3 0.356 0.358 -0.131 -0.330	4 -0.670 -0.633 0.017 -12.787
L 33 0 1 0.042 0.040 0.017 0.857	2 0.322 0.345 -0.119 -4.602	R 43 1 3 0.353 0.357 -0.085 -1.086	4 -0.669 -0.633 0.006 -12.690
L 34 0 1 0.046 0.040 -0.017 1.842	2 0.322 0.331 -0.505 -3.169	R 44 1 3 0.350 0.357 0.028 -0.804	4 -0.669 -0.633 -0.006 -12.673
L 35 0 1 0.048 0.040 0.040 2.387	2 0.305 0.318 -0.528 -4.242	R 44 1 3 0.350 0.357 0.017 -2.571	4 -0.669 -0.633 0.006 -12.734
L 36 0 1 0.049 0.043 0.006 2.044	2 0.288 0.306 -0.539 -5.429	R 45 1 3 0.347 0.356 -0.006 -3.521	4 -0.669 -0.633 0.006 -12.787
L 36 0 1 0.049 0.044 0.017 1.587	2 0.273 0.294 -0.199 -4.462	R 46 1 3 0.344 0.356 -0.017 -4.163	4 -0.669 -0.632 0.028 -13.077
L 37 0 1 0.049 0.044 0.028 1.429	2 0.273 0.285 -0.335 -4.013	R 47 1 3 0.341 0.355 -0.040 -4.444	4 -0.669 -0.631 0.040 -13.473
L 38 0 1 0.047 0.044 -0.006 1.007	2 0.259 0.273 -0.448 -4.813	R 47 1 3 0.341 0.354 -0.040 -4.822	4 -0.669 -0.629 0.051 -13.991
