.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 18 0 1 -0.085 -0.109 0.267 8.163	2 0.673 0.669 -0.301 1.270	R 27 1 3 0.407 0.384 -0.074 8.268	4 -0.677 -0.651 0.165 -9.938
L 19 0 1 -0.075 -0.099 0.346 7.284	2 0.653 0.659 -0.550 -0.163	R 28 1 3 0.403 0.380 -0.165 8.268	4 -0.677 -0.648 0.085 -10.369
L 19 0 1 -0.075 -0.088 0.380 4.207	2 0.632 0.647 -0.346 0.145	R 29 1 3 0.400 0.378 -0.051 7.793	4 -0.677 -0.647 -0.017 -10.325
L 20 0 1 -0.065 -0.076 0.437 3.530	2 0.632 0.633 -0.437 -0.514	R 30 1 3 0.397 0.377 -0.017 7.486	4 -0.676 -0.648 -0.028 -9.886
L 21 0 1 -0.054 -0.064 0.369 2.993	2 0.610 0.616 -0.596 -1.982	R 30 1 3 0.397 0.376 -0.051 7.143	4 -0.675 -0.649 -0.006 -9.604
L 22 0 1 -0.044 -0.053 0.301 2.088	2 0.588 0.605 -0.675 -4.637	R 31 1 3 0.393 0.376 -0.085 6.325	4 -0.675 -0.649 -0.006 -9.376
L 22 0 1 -0.044 -0.045 0.267 0.242	2 0.565 0.592 -0.131 -4.813	R 32 1 3 0.390 0.373 -0.085 5.965	4 -0.674 -0.648 0.040 -9.411
L 23 0 1 -0.034 -0.037 0.176 1.103	2 0.565 0.574 -0.607 -3.231	R 33 1 3 0.386 0.371 -0.017 5.824	4 -0.674 -0.648 0.006 -9.262
L 24 0 1 -0.024 -0.027 0.460 0.875	2 0.541 0.553 -0.914 -3.644	R 33 1 3 0.386 0.370 -0.062 5.666	4 -0.673 -0.648 0.028 -9.314
L 25 0 1 -0.014 -0.020 0.392 0.831	2 0.517 0.538 -0.675 -6.018	R 34 1 3 0.383 0.370 -0.040 4.611	4 -0.673 -0.647 0.028 -9.095
L 25 0 1 -0.014 -0.013 0.085 -0.154	2 0.494 0.521 -0.255 -4.796	R 35 1 3 0.379 0.369 -0.096 3.881	4 -0.673 -0.647 0.051 -9.121
L 26 0 1 -0.004 -0.007 0.062 1.077	2 0.494 0.504 -0.539 -3.635	R 36 1 3 0.376 0.367 -0.074 3.890	4 -0.672 -0.645 0.017 -9.411
L 27 0 1 0.005 -0.001 0.323 1.640	2 0.470 0.483 -0.993 -3.758	R 36 1 3 0.376 0.365 -0.074 3.960	4 -0.672 -0.644 0.062 -10.070
L 28 0 1 0.013 0.005 0.267 1.745	2 0.447 0.466 -0.721 -5.464	R 37 1 3 0.373 0.364 -0.051 3.099	4 -0.672 -0.643 0.062 -10.281
L 28 0 1 0.013 0.012 0.199 0.347	2 0.424 0.449 -0.244 -4.171	R 38 1 3 0.370 0.363 -0.108 2.448	4 -0.671 -0.641 0.051 -10.677
L 29 0 1 0.020 0.016 0.085 1.455	2 0.424 0.432 -0.550 -2.993	R 39 1 3 0.366 0.362 0.017 1.903	4 -0.671 -0.640 0.051 -11.046
L 30 0 1 0.027 0.021 0.199 2.167	2 0.402 0.417 -0.709 -4.541	R 39 1 3 0.366 0.360 -0.040 1.912	4 -0.670 -0.638 0.108 -11.811
L 31 0 1 0.033 0.027 0.165 1.938	2 0.381 0.400 -0.789 -5.429	R 40 1 3 0.363 0.360 -0.006 1.147	4 -0.670 -0.636 0.062 -12.242
L 31 0 1 0.033 0.031 0.176 0.497	2 0.360 0.385 -0.165 -4.602	R 41 1 3 0.360 0.359 -0.096 0.462	4 -0.670 -0.634 0.006 -12.646
L 32 0 1 0.038 0.035 0.062 1.121	2 0.360 0.369 -0.550 -2.870	R 42 1 3 0.356 0.358 -0.006 0.198	4 -0.670 -0.633 0.006 -12.734
